FPR,TPR,Model,Phase,AUC
0.0,0.0,Decision Tree,Phase 1,0.6219267539268363
0.001936733376371853,0.0,Decision Tree,Phase 1,0.6219267539268363
0.004519044544867657,0.00398406374501992,Decision Tree,Phase 1,0.6219267539268363
0.004519044544867657,0.01195219123505976,Decision Tree,Phase 1,0.6219267539268363
0.005810200129115558,0.01195219123505976,Decision Tree,Phase 1,0.6219267539268363
0.0071013557133634605,0.01195219123505976,Decision Tree,Phase 1,0.6219267539268363
0.009038089089735314,0.01195219123505976,Decision Tree,Phase 1,0.6219267539268363
0.014848289218850872,0.0199203187250996,Decision Tree,Phase 1,0.6219267539268363
0.02130406714009038,0.03187250996015936,Decision Tree,Phase 1,0.6219267539268363
0.02194964493221433,0.03187250996015936,Decision Tree,Phase 1,0.6219267539268363
0.02711426726920594,0.035856573705179286,Decision Tree,Phase 1,0.6219267539268363
0.03227888960619755,0.05179282868525897,Decision Tree,Phase 1,0.6219267539268363
0.03808908973531311,0.055776892430278883,Decision Tree,Phase 1,0.6219267539268363
0.04196255648805681,0.05976095617529881,Decision Tree,Phase 1,0.6219267539268363
0.04841833440929632,0.09163346613545817,Decision Tree,Phase 1,0.6219267539268363
0.05487411233053583,0.09163346613545817,Decision Tree,Phase 1,0.6219267539268363
0.056810845706907684,0.09163346613545817,Decision Tree,Phase 1,0.6219267539268363
0.0697224015493867,0.11952191235059761,Decision Tree,Phase 1,0.6219267539268363
0.08134280180761781,0.12749003984063745,Decision Tree,Phase 1,0.6219267539268363
0.08521626856036152,0.14342629482071714,Decision Tree,Phase 1,0.6219267539268363
0.08586184635248548,0.14342629482071714,Decision Tree,Phase 1,0.6219267539268363
0.08973531310522918,0.14741035856573706,Decision Tree,Phase 1,0.6219267539268363
0.1659134925758554,0.2908366533864542,Decision Tree,Phase 1,0.6219267539268363
0.16785022595222723,0.2908366533864542,Decision Tree,Phase 1,0.6219267539268363
0.17817947062621045,0.2948207171314741,Decision Tree,Phase 1,0.6219267539268363
0.17817947062621045,0.30677290836653387,Decision Tree,Phase 1,0.6219267539268363
0.19367333763718528,0.3147410358565737,Decision Tree,Phase 1,0.6219267539268363
0.2014202711426727,0.3426294820717131,Decision Tree,Phase 1,0.6219267539268363
0.24015493867010976,0.4103585657370518,Decision Tree,Phase 1,0.6219267539268363
0.24273724983860556,0.4103585657370518,Decision Tree,Phase 1,0.6219267539268363
0.2550032278889606,0.41434262948207173,Decision Tree,Phase 1,0.6219267539268363
0.2969657843770174,0.4860557768924303,Decision Tree,Phase 1,0.6219267539268363
0.3040671400903809,0.49800796812749004,Decision Tree,Phase 1,0.6219267539268363
0.3143963847643641,0.50199203187251,Decision Tree,Phase 1,0.6219267539268363
0.3195610071013557,0.5099601593625498,Decision Tree,Phase 1,0.6219267539268363
0.3279535183989671,0.5378486055776892,Decision Tree,Phase 1,0.6219267539268363
0.329244673983215,0.545816733067729,Decision Tree,Phase 1,0.6219267539268363
0.3331181407359587,0.5617529880478087,Decision Tree,Phase 1,0.6219267539268363
0.3331181407359587,0.5697211155378487,Decision Tree,Phase 1,0.6219267539268363
0.3344092963202066,0.5697211155378487,Decision Tree,Phase 1,0.6219267539268363
0.3382827630729503,0.5776892430278885,Decision Tree,Phase 1,0.6219267539268363
0.3428018076178179,0.5816733067729084,Decision Tree,Phase 1,0.6219267539268363
0.34409296320206584,0.5856573705179283,Decision Tree,Phase 1,0.6219267539268363
0.3473208521626856,0.5896414342629482,Decision Tree,Phase 1,0.6219267539268363
0.36797934151065204,0.6095617529880478,Decision Tree,Phase 1,0.6219267539268363
0.3757262750161394,0.6175298804780877,Decision Tree,Phase 1,0.6219267539268363
0.38734667527437056,0.6215139442231076,Decision Tree,Phase 1,0.6219267539268363
0.44932214331826986,0.6733067729083665,Decision Tree,Phase 1,0.6219267539268363
0.45448676565526147,0.6733067729083665,Decision Tree,Phase 1,0.6219267539268363
0.46287927695287284,0.6772908366533864,Decision Tree,Phase 1,0.6219267539268363
0.47837314396384767,0.6812749003984063,Decision Tree,Phase 1,0.6219267539268363
0.511943189154293,0.6972111553784861,Decision Tree,Phase 1,0.6219267539268363
1.0,1.0,Decision Tree,Phase 1,0.6219267539268363
0.0,0.0,Random Forest,Phase 1,0.7301652010421837
0.0006455777921239509,0.0,Random Forest,Phase 1,0.7301652010421837
0.0006455777921239509,0.00398406374501992,Random Forest,Phase 1,0.7301652010421837
0.0012911555842479018,0.00398406374501992,Random Forest,Phase 1,0.7301652010421837
0.0012911555842479018,0.00796812749003984,Random Forest,Phase 1,0.7301652010421837
0.001936733376371853,0.00796812749003984,Random Forest,Phase 1,0.7301652010421837
0.001936733376371853,0.0199203187250996,Random Forest,Phase 1,0.7301652010421837
0.003873466752743706,0.0199203187250996,Random Forest,Phase 1,0.7301652010421837
0.003873466752743706,0.02390438247011952,Random Forest,Phase 1,0.7301652010421837
0.004519044544867657,0.02390438247011952,Random Forest,Phase 1,0.7301652010421837
0.004519044544867657,0.027888446215139442,Random Forest,Phase 1,0.7301652010421837
0.005810200129115558,0.027888446215139442,Random Forest,Phase 1,0.7301652010421837
0.005810200129115558,0.0398406374501992,Random Forest,Phase 1,0.7301652010421837
0.006455777921239509,0.0398406374501992,Random Forest,Phase 1,0.7301652010421837
0.006455777921239509,0.04780876494023904,Random Forest,Phase 1,0.7301652010421837
0.007746933505487412,0.04780876494023904,Random Forest,Phase 1,0.7301652010421837
0.007746933505487412,0.05179282868525897,Random Forest,Phase 1,0.7301652010421837
0.008392511297611363,0.05179282868525897,Random Forest,Phase 1,0.7301652010421837
0.008392511297611363,0.05976095617529881,Random Forest,Phase 1,0.7301652010421837
0.009038089089735314,0.05976095617529881,Random Forest,Phase 1,0.7301652010421837
0.009038089089735314,0.06772908366533864,Random Forest,Phase 1,0.7301652010421837
0.009683666881859263,0.06772908366533864,Random Forest,Phase 1,0.7301652010421837
0.009683666881859263,0.07171314741035857,Random Forest,Phase 1,0.7301652010421837
0.010974822466107165,0.07171314741035857,Random Forest,Phase 1,0.7301652010421837
0.010974822466107165,0.07569721115537849,Random Forest,Phase 1,0.7301652010421837
0.012911555842479019,0.07569721115537849,Random Forest,Phase 1,0.7301652010421837
0.012911555842479019,0.08366533864541832,Random Forest,Phase 1,0.7301652010421837
0.014848289218850872,0.08366533864541832,Random Forest,Phase 1,0.7301652010421837
0.014848289218850872,0.08764940239043825,Random Forest,Phase 1,0.7301652010421837
0.018076178179470628,0.08764940239043825,Random Forest,Phase 1,0.7301652010421837
0.018076178179470628,0.09163346613545817,Random Forest,Phase 1,0.7301652010421837
0.019367333763718526,0.09163346613545817,Random Forest,Phase 1,0.7301652010421837
0.019367333763718526,0.09561752988047809,Random Forest,Phase 1,0.7301652010421837
0.02194964493221433,0.09561752988047809,Random Forest,Phase 1,0.7301652010421837
0.02194964493221433,0.099601593625498,Random Forest,Phase 1,0.7301652010421837
0.023240800516462233,0.099601593625498,Random Forest,Phase 1,0.7301652010421837
0.023240800516462233,0.10756972111553785,Random Forest,Phase 1,0.7301652010421837
0.024531956100710135,0.10756972111553785,Random Forest,Phase 1,0.7301652010421837
0.024531956100710135,0.11553784860557768,Random Forest,Phase 1,0.7301652010421837
0.02646868947708199,0.11553784860557768,Random Forest,Phase 1,0.7301652010421837
